"order_id","order_status_id","user_id","status"
37558,10,35128,ORDER_ACCEPTED
37559,1,35094,ORDER_CREATE
37559,2,35094,ORDER_CONFIRMED
37559,6,0,ADMIN_CANCELED
37560,1,35094,ORDER_CREATE
37560,2,35094,ORDER_CONFIRMED
37560,10,35062,ORDER_ACCEPTED
37561,1,35094,ORDER_CREATE
37561,2,35094,ORDER_CONFIRMED
37561,10,35062,ORDER_ACCEPTED
37562,2,35062,ORDER_CONFIRMED
37563,2,35062,ORDER_CONFIRMED
37562,10,35062,ORDER_ACCEPTED
37564,2,35062,ORDER_CONFIRMED
37564,10,35062,ORDER_ACCEPTED
37565,2,35062,ORDER_CONFIRMED
37565,6,0,ADMIN_CANCELED
37563,6,0,ADMIN_CANCELED
37566,2,35062,ORDER_CONFIRMED
37566,10,35062,ORDER_ACCEPTED
37567,2,35062,ORDER_CONFIRMED
37567,10,35095,ORDER_ACCEPTED
37568,2,35062,ORDER_CONFIRMED
37568,10,35062,ORDER_ACCEPTED
37569,2,35062,ORDER_CONFIRMED
37570,2,35062,ORDER_CONFIRMED
37569,10,35095,ORDER_ACCEPTED
37571,2,35062,ORDER_CONFIRMED
37571,10,35095,ORDER_ACCEPTED
37572,2,35062,ORDER_CONFIRMED
37570,6,0,ADMIN_CANCELED
37572,6,0,ADMIN_CANCELED
37573,2,35062,ORDER_CONFIRMED
37573,10,35062,ORDER_ACCEPTED
37574,2,35062,ORDER_CONFIRMED
37574,10,35095,ORDER_ACCEPTED
37575,2,35062,ORDER_CONFIRMED
37575,10,35095,ORDER_ACCEPTED
37576,2,35062,ORDER_CONFIRMED
37576,10,35062,ORDER_ACCEPTED
37577,1,35094,ORDER_CREATE
37577,2,35094,ORDER_CONFIRMED
